"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-1.5025,-6.3461,-5.6364,-126.61,0.01092,-0.2,-0.0058832
-0.19124,-7.4063,-5.0227,-130.79,0.0095024,-0.2,-0.0023117
-6.7814,3.0506,-11.5,-76.006,0.020592,-0.2,-0.018007
-5.1362,1.4074,-10.618,-89.755,0.019463,-0.2,-0.014443
-3.6558,-0.32388,-9.6653,-101.03,0.018259,-0.2,-0.01088
-2.1703,-2.0155,-8.7188,-109.6,0.016996,-0.2,-0.0073223
-0.78985,-3.4031,-7.8854,-115.8,0.015681,-0.2,-0.0037726
0.53974,-4.389,-7.1699,-119.9,0.014318,-0.2,-0.00023423
-5.996,4.3725,-13.648,-62.83,0.02485,-0.2,-0.015686
-4.3934,3.3986,-12.991,-75.146,0.023869,-0.2,-0.012147
-2.9395,2.2995,-12.213,-85.653,0.022789,-0.2,-0.0086191
-1.4459,1.156,-11.37,-93.824,0.021628,-0.2,-0.0051048
-0.025807,0.15813,-10.544,-99.958,0.020395,-0.2,-0.0016068
1.3632,-0.5895,-9.7756,-104.04,0.019097,-0.2,0.0018725
-4.9017,5.2491,-15.473,-42.307,0.028991,-0.2,-0.013182
-3.3093,4.8488,-15.047,-52.157,0.028171,-0.2,-0.0096979
-1.8713,4.3568,-14.521,-61.549,0.027226,-0.2,-0.006235
-0.39723,3.8156,-13.921,-69.228,0.02618,-0.2,-0.0027947
1.0429,3.3171,-13.273,-75.302,0.025042,-0.2,0.00062134
2.475,2.9333,-12.615,-79.55,0.023821,-0.2,0.0040113
-4.1656,5.5482,-17.075,-7.3516,0.03297,-0.2,-0.01046
-2.5582,5.4841,-16.978,-15.945,0.032326,-0.2,-0.0070677
-1.0563,5.3856,-16.768,-24.059,0.031533,-0.2,-0.0037072
0.46407,5.269,-16.458,-30.784,0.030616,-0.2,-0.00037829
1.9698,5.1571,-16.053,-36.059,0.02959,-0.2,0.0029185
3.4635,5.0737,-15.572,-39.757,0.028461,-0.2,0.0061818
-2.9401,-2.781,-12.68,378.5,0.13908,-0.2,-0.040838
-3.472,-2.8697,-13.76,368.63,0.12906,-0.2,-0.037851
-4.0193,-2.8302,-15.129,348.49,0.11904,-0.2,-0.034863
-4.0851,-1.7298,-15.521,326.67,0.10902,-0.2,-0.031876
-4.381,-0.18211,-15.61,302.13,0.098995,-0.2,-0.028888
-4.651,-0.094624,-15.524,275.1,0.088973,-0.2,-0.0259
-4.8323,-0.81493,-15.383,250.92,0.079819,-0.2,-0.023169
-1.9176,-2.9379,-14.154,367.89,0.13243,-0.2,-0.02333
-1.571,-2.8413,-13.025,377.9,0.14274,-0.2,-0.025191
-2.3033,-2.9181,-15.55,347.36,0.12213,-0.2,-0.021469
