"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
106.71,1.0066,-0.88009,-10.233,0.082014,-0.2,0.013292
157.76,2.8185,-2.5702,-9.1185,0.12958,-0.2,0.034928
162.31,0,0,0,0.13995,-0.2,0.03758
147.9,3.0619,-2.4557,-10.109,0.11921,-0.2,0.032276
138.08,2.8796,-1.6112,-10.295,0.10884,-0.2,0.029624
127.69,2.7251,-0.46623,-10.355,0.09847,-0.2,0.026972
115.85,2.3633,-0.42083,-10.13,0.088101,-0.2,0.02432
106.31,1.9686,-0.93454,-9.977,0.07912,-0.2,0.02203
100.93,-3.2752,-0.75823,-10.131,0.076362,-0.2,-0.022308
95.958,-3.365,-0.80426,-10.233,0.072905,-0.2,-0.021447
88.656,-3.6069,-0.35784,-10.803,0.069448,-0.2,-0.020587
100.99,-2.2352,-0.83969,-10.338,0.078328,-0.2,-0.01387
96.131,-2.3403,-0.87485,-10.44,0.074781,-0.2,-0.013543
88.87,-2.5543,-0.41241,-11.031,0.071235,-0.2,-0.013215
101,-1.1926,-0.91424,-10.435,0.079357,-0.2,-0.0052694
96.256,-1.3143,-0.93446,-10.545,0.075786,-0.2,-0.0054816
89.015,-1.4968,-0.45354,-11.167,0.072214,-0.2,-0.0056938
100.98,-0.15693,-0.97607,-10.42,0.079454,-0.2,0.003391
96.336,-0.29371,-0.97987,-10.546,0.075933,-0.2,0.0026395
89.11,-0.43801,-0.48181,-11.203,0.072412,-0.2,0.0018881
100.78,0.85427,-1.0205,-10.299,0.078619,-0.2,0.012011
96.328,0.70831,-1.0044,-10.446,0.075224,-0.2,0.01073
89.18,0.61446,-0.49355,-11.143,0.07183,-0.2,0.0094498
100.65,1.8283,-1.0456,-10.088,0.07623,-0.2,0.020322
96.351,1.684,-1.0123,-10.258,0.07334,-0.2,0.018615
89.266,1.6519,-0.49296,-10.991,0.07045,-0.2,0.016907
73.539,-3.6564,0.9364,-12.136,0.060329,-0.2,-0.018055
