"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-129.36301,-24.0998,7.3324599,-11.5996,0.0080418428,-0.2071428,-0.033516318
501.38,-28.9231,1.7739,-13.2574,0.025579359,-0.20714283,-0.061754093
324.495,-29.6402,4.1159601,-15.5303,0.021417789,-0.20714281,-0.05170691
104.385,-27.4692,6.8743501,-15.7513,0.017256221,-0.20714281,-0.041659724
-115.355,-22.703699,7.2380099,-15.0699,0.013094652,-0.2071428,-0.031612538
514.03302,-26.644501,1.47817,-16.8368,0.034178458,-0.20714283,-0.057475183
342.604,-27.351999,3.63849,-19.422899,0.028789701,-0.20714281,-0.048110936
124.699,-25.401501,6.4477501,-19.562401,0.023400944,-0.20714281,-0.038746689
-90.888802,-21.003099,7.23734,-18.3545,0.018012188,-0.20714281,-0.029382441
525.48199,-23.9464,1.20768,-20.004101,0.042112451,-0.20714283,-0.052071124
362.08099,-24.6099,3.15291,-22.880301,0.035663441,-0.20714281,-0.043661594
150.825,-22.949499,5.9766798,-22.9799,0.029214431,-0.20714281,-0.035252064
-57.0779,-19.025101,7.2326198,-21.3708,0.02276542,-0.20714281,-0.026842533
535.685,-20.898399,0.95772702,-22.712601,0.049232777,-0.20714283,-0.045648508
382.685,-21.4974,2.6735001,-25.8265,0.041929632,-0.20714281,-0.038433842
182.347,-20.180099,5.4655299,-25.938601,0.034626488,-0.20714281,-0.031219173
-16.976801,-16.815001,7.1310201,-24.085899,0.027323343,-0.20714281,-0.024004506
545.83899,-17.5728,0.72862798,-24.924999,0.055393353,-0.20714283,-0.038320992
404.53799,-18.100901,2.21699,-28.2097,0.047477338,-0.20714281,-0.032502793
218.369,-17.165199,4.9419599,-28.400801,0.039561324,-0.20714281,-0.02668459
27.3389,-14.3781,6.8897099,-26.450899,0.031645313,-0.20714281,-0.020866387
556.74701,-14.0416,0.49158901,-26.649599,0.060469322,-0.20714281,-0.030223893
426.59201,-14.5005,1.79949,-30.0348,0.052206479,-0.20714281,-0.025954995
255.179,-14.0185,4.4264102,-30.429501,0.043943636,-0.20714281,-0.021686098
72.263901,-11.7774,6.54672,-28.3654,0.035680793,-0.20714281,-0.0174172
427.07599,-30.3622,3.8756399,12.3921,-0.02908797,-0.20714281,-0.061141029
262.686,-31.002001,6.6105299,11.1164,-0.025025217,-0.20714281,-0.052839652
71.2509,-29.5077,8.9769802,9.56742,-0.020962466,-0.20714281,-0.044538274
-108.293,-25.733299,9.0037603,6.5752602,-0.016899712,-0.20714281,-0.036236901
417.18799,-28.913099,4.2912898,15.5128,-0.035164017,-0.20714283,-0.057628017
245.423,-29.3738,7.2474499,14.1306,-0.029940512,-0.20714281,-0.049529262
44.393398,-27.773701,9.3331203,12.0526,-0.024717005,-0.20714281,-0.041430507
-138.8,-23.8997,8.6462698,8.6184502,-0.019493498,-0.20714281,-0.033331752
406.22101,-27.0825,4.6995802,18.5163,-0.040860858,-0.20714283,-0.05351261
226.10201,-27.3881,7.81984,17.0338,-0.034546141,-0.20714281,-0.04576198
15.5713,-25.780701,9.6041002,14.5345,-0.02823142,-0.20714281,-0.038011353
-173.72301,-21.8815,8.1195898,10.645,-0.021916701,-0.20714281,-0.030260727
394.56799,-24.894699,5.0857801,21.3598,-0.046120677,-0.20714281,-0.048837882
206.379,-25.0667,8.3256197,19.7875,-0.038805805,-0.20714281,-0.041574139
-11.1973,-23.503099,9.7989798,16.9324,-0.031490933,-0.20714281,-0.0343104
-206.498,-19.7204,7.3955402,12.5028,-0.024176061,-0.2071428,-0.02704666
384.28799,-22.3503,5.4267201,23.9748,-0.050889738,-0.20714281,-0.043652475
189.549,-22.408701,8.7627602,22.3155,-0.042684611,-0.20714281,-0.037004221
-31.6581,-20.9268,9.9331903,19.1446,-0.034479488,-0.20714281,-0.030355969
-232.547,-17.4263,6.6255999,14.1674,-0.026274361,-0.2071428,-0.023707718
375.987,-19.477501,5.7216201,26.304701,-0.055119164,-0.20714281,-0.038010187
176.377,-19.452801,9.1299105,24.566999,-0.046149995,-0.20714281,-0.032093223
-45.630402,-18.0846,10.0368,21.127199,-0.037180822,-0.20714281,-0.026176263
-250.847,-14.9866,5.9559002,15.657,-0.02821165,-0.2071428,-0.0202593
-213.758,-23.2502,7.2593398,3.88609,-0.012521384,-0.2071428,-0.031691246
-258.37601,-20.8542,5.2091699,5.6632099,-0.014497692,-0.2071428,-0.028789561
-281.168,-17.764,2.1732399,6.6022601,-0.016351806,-0.2071428,-0.02580037
-300.04501,-14.685,-1.02065,7.4331899,-0.018099185,-0.2071428,-0.022742305
-315.681,-11.8518,-3.8559201,8.2409697,-0.019750573,-0.2071428,-0.019627864
-327.047,-9.26826,-6.0451498,9.0504999,-0.021313312,-0.2071428,-0.016465683
-226.246,-21.971001,5.4837999,0.122738,-0.0078512821,-0.2071428,-0.030758725
-275.42401,-18.903299,1.82201,1.99747,-0.00974565,-0.2071428,-0.027679987
-302.716,-15.4969,-2.5176101,2.9893999,-0.011545063,-0.2071428,-0.024524981
-324.19101,-12.4479,-6.4391499,4.0528302,-0.013260897,-0.2071428,-0.021310676
-340.63,-9.9293003,-9.4147396,5.10144,-0.014900972,-0.2071428,-0.018048391
-352.37201,-7.7400498,-11.4818,6.0954099,-0.016470924,-0.2071428,-0.014746033
-239.511,-20.677099,4.1803598,-2.8118,-0.0032310938,-0.2071428,-0.029570814
-288.36801,-17.034401,-0.67710501,-0.60529202,-0.0050294925,-0.2071428,-0.026348814
-316.879,-13.7018,-5.43084,0.56259799,-0.0067601749,-0.2071428,-0.023061788
-340.06201,-10.9941,-9.4183197,1.81858,-0.0084304353,-0.2071428,-0.019725032
-357.677,-8.7503796,-12.421,2.93295,-0.01004517,-0.2071428,-0.016348699
-371.13901,-6.6947498,-14.5421,3.9892399,-0.011608304,-0.2071428,-0.012939961
-243.63901,-19.381001,3.1903999,-5.8701,0.0013355929,-0.2071428,-0.028174667
-291.53101,-15.4269,-2.3222101,-3.4330399,-0.00035518617,-0.2071428,-0.024837505
-322.349,-12.372,-7.0352201,-2.13446,-0.0020054895,-0.2071428,-0.02144656
-347.76401,-9.8285198,-11.1753,-0.685251,-0.0036185281,-0.2071428,-0.018015457
-366.845,-7.7239099,-14.2759,0.414823,-0.0051962752,-0.2071428,-0.014553177
-381.927,-5.7372398,-16.49,1.46395,-0.0067409468,-0.2071428,-0.011066165
-241.589,-18.2341,3.0325201,-9.0376101,0.00584614,-0.2071428,-0.026597761
-289.371,-14.2168,-2.54721,-6.3898902,0.0042732232,-0.2071428,-0.023170175
-322.202,-11.3268,-7.2198601,-4.7884898,0.0027135396,-0.2071428,-0.01970005
-348.20001,-8.7982903,-11.4821,-3.20769,0.0011679629,-0.2071428,-0.016199345
-368.38,-6.7111201,-14.6571,-2.1802199,-0.0003625587,-0.2071428,-0.012675862
-384.802,-4.7323399,-16.944901,-1.17962,-0.0018785297,-0.2071428,-0.009135318
-232.291,-17.1752,3.4920499,-12.3245,0.010295263,-0.2071428,-0.024851229
-280.64999,-13.2578,-1.63507,-9.6940699,0.0088500278,-0.2071428,-0.02135691
-315.02802,-10.4096,-6.2256098,-7.7501998,0.0073907808,-0.2071428,-0.017831292
-341.642,-7.7873201,-10.4735,-6.08464,0.0059224814,-0.2071428,-0.014284673
-362.43201,-5.6449699,-13.7172,-4.9292598,0.0044490001,-0.2071428,-0.010723678
-378.90302,-3.5976501,-16.049,-3.9860699,0.0029715439,-0.2071428,-0.0071532968
-214.05701,-16.0821,4.5100398,-15.8582,0.014675348,-0.20714281,-0.022938086
-263.117,-12.337,0.27369899,-13.4409,0.013367656,-0.20714281,-0.019400833
-299.604,-9.5580101,-3.8863299,-11.2957,0.012018708,-0.20714281,-0.015843526
-327.21399,-6.8276601,-8.0118103,-9.3455296,0.010637548,-0.20714281,-0.012274792
-347.98801,-4.5290298,-11.2637,-7.98736,0.0092309695,-0.2071428,-0.0087000867
-363.96301,-2.3651099,-13.6345,-6.9491701,0.0078018908,-0.2071428,-0.0051236693
-186.30701,-14.9145,5.7146902,-19.367701,0.018979499,-0.20714281,-0.020862868
-233.90601,-11.343,2.7269299,-17.48,0.017819153,-0.20714281,-0.017306376
-272.94101,-8.7178297,-0.444778,-15.532,0.016590308,-0.20714281,-0.013741072
-303.32999,-5.9284401,-4.06288,-13.3785,0.015306094,-0.20714281,-0.010173921
-325.246,-3.5443399,-7.16149,-11.6415,0.013976226,-0.2071428,-0.0066091986
-340.965,-1.316,-9.5479403,-10.2765,0.012605334,-0.2071428,-0.0030504391
-153.537,-13.6308,6.7125902,-22.7061,0.023196509,-0.20714281,-0.018621977
