NU,X,Y,Ux,Uy
0.06,0.01,0.005,0.000160056,0.000105906
0.06,0.015,0.005,-0.0011441,0.00056544
0.06,0.02,0.005,-0.00345411,0.000894706
0.06,0.025,0.005,-0.0063754,0.00106138
0.06,0.030000000000000002,0.005,-0.00949971,0.00107739
0.06,0.035,0.005,-0.0124587,0.000967462
0.06,0.04,0.005,-0.0149484,0.00076043
0.06,0.045,0.005,-0.0167391,0.000485004
0.06,0.049999999999999996,0.005,-0.0176772,0.000168647
0.06,0.05499999999999999,0.005,-0.0176845,-0.000162063
0.06,0.05999999999999999,0.005,-0.0167584,-0.000480594
0.06,0.06499999999999999,0.005,-0.0149727,-0.000759571
0.06,0.06999999999999999,0.005,-0.0124792,-0.000970186
0.06,0.075,0.005,-0.00950932,-0.0010823
0.06,0.08,0.005,-0.00637174,-0.00106611
0.06,0.085,0.005,-0.00344075,-0.000896921
0.06,0.09000000000000001,0.005,-0.00112902,-0.000564103
0.06,0.09500000000000001,0.005,0.000169357,-0.000102418
0.06,0.10000000000000002,0.005,0.000259766,0.000255548
0.06,0.005,0.01,-6.69966e-05,-0.000189796
0.06,0.01,0.01,-0.00156992,0.00161567
0.06,0.015,0.01,-0.00562707,0.00361331
0.06,0.02,0.01,-0.0116673,0.00506597
0.06,0.025,0.01,-0.0188895,0.00579779
0.06,0.030000000000000002,0.01,-0.0264591,0.00581471
0.06,0.035,0.01,-0.0335748,0.00520277
0.06,0.04,0.01,-0.039546,0.00408658
0.06,0.045,0.01,-0.0438366,0.00260547
0.06,0.049999999999999996,0.01,-0.0460819,0.0009028
0.06,0.05499999999999999,0.01,-0.0460957,-0.000877078
0.06,0.05999999999999999,0.01,-0.043873,-0.00258862
0.06,0.06499999999999999,0.01,-0.039592,-0.00408421
0.06,0.06999999999999999,0.01,-0.033614,-0.00521498
0.06,0.075,0.01,-0.0264781,-0.00583579
0.06,0.08,0.01,-0.0188834,-0.00581812
0.06,0.085,0.01,-0.0116421,-0.00507605
0.06,0.09000000000000001,0.01,-0.0055972,-0.00360878
0.06,0.09500000000000001,0.01,-0.00155012,-0.00160148
0.06,0.10000000000000002,0.01,-6.11231e-05,0.000199361
0.06,0.005,0.015,-0.000512651,0.00103767
0.06,0.01,0.015,-0.00365365,0.00566796
0.06,0.015,0.015,-0.0105055,0.0102138
0.06,0.02,0.015,-0.0199364,0.0134735
0.06,0.025,0.015,-0.0307803,0.0150614
0.06,0.030000000000000002,0.015,-0.0419198,0.014952
0.06,0.035,0.015,-0.0522765,0.0133173
0.06,0.04,0.015,-0.0609124,0.010438
